[Stundenplan]
Tag;Stunde;Klasse;Lehrer;Raum;Fach
0;1;5a;L019;A208;E
0;1;5b;L371;KU1;Ku
0;1;5c;L753;A210;D
0;1;5d;L255;A203;Geo
0;1;6a;L774;A205;E
0;1;6b;L999;BIOÜ;B
0;1;6c;L581;AE07;M
0;1;6d;L770;KU2;Ku
0;1;6e;L976;A201;D
0;1;7ae1Ev;L443;EE01;Ev
0;1;7abcdeK;L956;C203;K
0;1;7abceEth;L608;AE06;Eth
0;1;7be2Ev;L407;A107;Ev
0;1;7cdEv;L749;A105;Ev
0;1;8aN;L287;PHY2;Ph
0;1;8bN;L703;A104;M
0;1;8cW;L919;A110;D
0;1;8dW;L621;MU2;Mu
0;1;9aN;L048;E101;E
0;1;9bN;L456;PHY1;Ph
0;1;9cW;L136;PHÜ;Ph
0;1;9dW;L207;C201S;D
0;1;10aN;L502;ELearn;Inf
0;1;10bN;L594;CHÜ;C
0;1;10cW;L947;BU02;G
0;1;Q11;L801;C102W;11WR2
0;1;Q11;L435;C106;11Geo2
0;1;Q11;L843;C103G;11Geo3
0;1;Q11;L189;C202;11Geo1
0;1;Q11;L733;C101M;11WR1
0;1;Q12;L191;A103;12G3
0;1;Q12;L508;C105;12G2
0;1;Q12;L135;A204;12G1
0;1;Q12;L194;A207;12G4
0;10;Q12;L926;P3;12Tt
0;10;Q12;L364;P2;12Bm
0;10;Q12;L397;ERN;12Vb1
0;10;Q12;L758;ALEX;12Vb2
0;10;Q12;L467;COJE;12Kle
0;11;Q12;L926;P3;12Tt
0;11;Q12;L364;P2;12Bm
0;11;Q12;L397;ERN;12Vb1
0;11;Q12;L758;ALEX;12Vb2
0;11;Q12;L467;COJE;12Kle
0;2;5d;L621;MU2;Mu
0;2;6a;L999;BIOÜ;B
0;2;6b;L951;A207;F
0;2;8aN;L456;A108;M
0;2;8dW;L929;PHY2;Ph
0;2;9bN;L873;CH;C
0;2;9cW;L726;BIO;B
0;2;10cW;L637;MU1;Mu
0;2;Q11;L801;C102W;11WR2
0;2;Q11;L435;C106;11Geo2
0;2;Q11;L843;C103G;11Geo3
0;2;Q11;L189;C202;11Geo1
0;2;Q11;L733;C101M;11WR1
0;2;Q12;L191;A103;12G3
0;2;Q12;L508;C105;12G2
0;2;Q12;L135;A204;12G1
0;2;Q12;L947;AE05;12Sk4
0;3;5a;L194;A208;D
0;3;5b;L726;BIO;NuT
0;3;5c;L999;BIOÜ;NuT
0;3;5d;L299;A203;D
0;3;6abcdeK;L956;AE07;K
0;3;6abcdeEth;L947;C202;Eth
0;3;6ac1Ev;L749;A205;Ev
0;3;6bc2e2Ev;L443;A207;Ev
0;3;6de1Ev;L099;A201;Ev
0;3;7a;L422;KU1;Ku
0;3;7b;L287;C101M;M
0;3;7c;L621;MU2;Mu
0;3;7d;L508;A105;G
0;3;7e;L637;MU1;Mu
0;3;8a1;L421;A108;E
0;3;8bN;L770;KU2;Ku
0;3;8cW;L456;A110;M
0;3;8dW;L703;A103;M
0;3;9ac1Sm;L189;ERN;Sm
0;3;9abcdSw;L758;ALEX;Sw
0;3;9bSm;L467;P3;Sm
0;3;9c2dSm;L926;AN1;Sm
0;3;10aN;L569;C103G;Geo
0;3;10bN;L191;C203;G
0;3;10cW;L801;C102W;WR
0;3;Q11;L960;AE09;11E1
0;3;Q11;L135;C108;11E2
0;3;Q11;L655;C201S;11F
0;3;Q11;L753;C106;11E3
0;3;Q11;L976;C107;11L
0;3;Q12;L136;C105;12M3
0;3;Q12;L420;A107;12M2
0;3;Q12;L929;E101;12M1
0;3;Q12;L729;AE05;12M4
0;4;5b;L547;A204;D
0;4;5c;L901;A210;E
0;4;6a;L182;A205;D
0;4;6b;L099;A207;M
0;4;6cL;L956;EE02;L
0;4;6cF;L774;AE07;F
0;4;6d;L873;BIOÜ;B
0;4;6e;L508;A201;G
0;4;7c;L435;AE06;Geo
0;4;7d;L621;MU2;Mu
0;4;7e;L019;EE01;G
0;4;10aN;L641;BIO;B
0;4;10bN;L255;C103G;Geo
0;4;Q11;L960;AE09;11E1
0;4;Q11;L135;C108;11E2
0;4;Q11;L655;C201S;11F
0;4;Q11;L753;C106;11E3
0;4;Q11;L976;C107;11L
0;4;Q12;L136;C105;12M3
0;4;Q12;L420;A107;12M2
0;4;Q12;L929;E101;12M1
0;4;Q12;L729;AE05;12M4
0;5;5a;L435;A208;Geo
0;5;5b;L287;A204;M
0;5;5c;L703;A210;M
0;5;5d;L421;A203;E
0;5;6a;L621;MU2;Mu
0;5;6b;L960;A207;E
0;5;6c;L770;KU2;Ku
0;5;6d;L299;C202;M
0;5;6e;L467;C101M;L
0;5;7a;L048;C203;E
0;5;7b1;L086;A107;EInt
0;5;7b2;L135;A108;EInt
0;5;7c;L258;AE06;M
0;5;7d;L581;A105;M
0;5;7e;L397;INF;Inf
0;5;8aN;L758;BIO;B
0;5;8b1;L136;PHÜ;Ph
0;5;8b2;L999;CHÜ;C
0;5;8cW;L569;C103G;Geo
0;5;8dW;L182;C201S;D
0;5;9aN;L801;C102W;WR
0;5;9bN;L729;EE02;M
0;5;9cW;L255;AE05;D
0;5;9dW;L873;BIOÜ;B
0;5;10aN;L422;KU1;Ku
0;5;10bN;L191;C107;Sk
0;5;10cW;L843;ELearn;WIn
0;5;Q11;L443;AE07;11Ev3
0;5;Q11;L128;E101;11Ev1
0;5;Q11;L956;C106;11K
0;5;Q11;L099;C105;11Ev2
0;5;Q12;L608;BU02;12E1
0;5;Q12;L371;C108;12E3
0;5;Q12;L774;A104;12E2
0;5;Q12;L901;A103;12E4
0;6;5a;L873;BIO;NuT
0;6;5b;L655;A204;E
0;6;5c;L255;A210;Geo
0;6;5d;L581;A203;M
0;6;6a;L135;A205;G
0;6;6b;L621;MU2;Mu
0;6;6d;L547;C201S;L
0;6;6e;L637;MU1;Mu
0;6;7a;L191;C203;D
0;6;7b;L435;C101M;Geo
0;6;7d;L508;A105;D
0;6;8aN;L594;CH;C
0;6;8cW;L929;PHY2;Ph
0;6;8dW;L189;C103G;Geo
0;6;9aN;L726;BIOÜ;B
0;6;9bN;L733;C102W;WR
0;6;9cW;L086;AE05;F
0;6;9dW;L194;AE09;G
0;6;10bN;L182;C107;D
0;6;Q11;L443;AE07;11Ev3
0;6;Q11;L128;E101;11Ev1
0;6;Q11;L956;C106;11K
0;6;Q11;L099;C105;11Ev2
0;6;Q12;L608;BU02;12E1
0;6;Q12;L371;C108;12E3
0;6;Q12;L774;A104;12E2
0;6;Q12;L901;A103;12E4
0;7;5abcd;L888;BAD2;L947i
0;8;6c;L443;AE07;E
0;8;6d;L435;INF;Inf
0;8;6e;L299;A105;MInt
0;8;6ab;L926;P2;Spo
0;8;6ab;L711;P3;Spo
0;8;7abcde;L467;A110;IFL
0;8;7abcde;L258;A104;IFM
0;8;7abcde;L099;A107;IFM
0;8;8aN;L956;A108;L
0;8;8bN;L189;C103G;Geo
0;8;8cW;L621;MU2;Mu
0;8;8dW;L019;A103;G
0;8;9aN;L947;E101;D
0;8;9bN;L135;EE02;G
0;8;9cW;L655;AE05;E
0;8;9dW;L207;C201S;Sk
0;8;10aN;L128;PHY1;Ph
0;8;10bN;L703;C101M;M
0;8;10cW;L421;BU02;E
0;8;Q11;L086;C105;11WE
0;8;Q11;L641;BIOÜ;11WB
0;8;Q11;L194;AE06;11WD
0;8;Q11;L999;CH;11WC
0;8;Q11;L843;C102W;11WGeo
0;8;Q11;L407;C108;11WWR
0;8;Q11;L758;BIO;11WSpo
0;8;Q12;L770;KU2;12Ku1
0;8;Q12;L422;KU1;12Ku2
0;8;Q12;L637;MU1;12Mu1
0;8;OGS1;L797;A203;HBet
0;8;OGS2;L519;A204;HBet
0;8;OGS3;L628;A205;HBet
0;8;OGS4;L123;A207;HBet
